Statistic,resample-0,resample-1,resample-2,resample-3,resample-4,resample-5,resample-6,resample-7,resample-8,resample-9,resample-10,resample-11,resample-12,resample-13,resample-14,resample-15,resample-16,resample-17,resample-18,resample-19,resample-20,resample-21,resample-22,resample-23,resample-24,resample-25,resample-26,resample-27,resample-28,resample-29
kendalltau,0.25,0.25,0.25,0.125,0.175,0.175,0.125,0.275,0.325,0.375,0.325,0.225,0.225,0.25,0.25,0.225,0.3,0.225,0.3,0.3,0.175,0.25,0.25,0.225,0.2,0.225,0.275,0.275,0.15,0.3
xcorr_max_sig-True,0.275,0.125,0.325,0.275,0.425,0.175,0.375,0.3,0.3,0.275,0.3,0.225,0.2,0.1,0.25,0.3,0.25,0.35,0.25,0.4,0.3,0.35,0.25,0.325,0.25,0.2,0.25,0.3,0.275,0.225
xcorr_mean_sig-True,0.225,0.125,0.3,0.225,0.15,0.15,0.2,0.275,0.225,0.125,0.175,0.3,0.175,0.275,0.125,0.15,0.25,0.25,0.2,0.225,0.2,0.1,0.175,0.225,0.15,0.275,0.175,0.425,0.225,0.25
xcorr_mean_sig-False,0.2,0.15,0.3,0.35,0.2,0.075,0.25,0.225,0.275,0.225,0.275,0.225,0.375,0.275,0.275,0.275,0.2,0.225,0.375,0.325,0.25,0.225,0.425,0.275,0.175,0.225,0.225,0.3,0.25,0.225
lmfit_Ridge,0.125,0.125,0.2,0.225,0.2,0.2,0.175,0.25,0.3,0.2,0.25,0.3,0.125,0.275,0.2,0.25,0.275,0.2,0.25,0.25,0.25,0.325,0.25,0.325,0.25,0.3,0.25,0.25,0.25,0.375
lmfit_SGDRegressor,0.125,0.125,0.2,0.225,0.2,0.2,0.2,0.25,0.3,0.2,0.25,0.3,0.125,0.275,0.2,0.25,0.3,0.2,0.25,0.275,0.25,0.325,0.25,0.325,0.25,0.3,0.25,0.25,0.225,0.375
lmfit_ElasticNet,0.225,0.175,0.2,0.2,0.2,0.175,0.25,0.1,0.2,0.175,0.225,0.2,0.2,0.325,0.175,0.2,0.25,0.275,0.225,0.15,0.3,0.075,0.15,0.25,0.25,0.225,0.15,0.175,0.15,0.3
lmfit_BayesianRidge,0.15,0.125,0.225,0.225,0.175,0.2,0.175,0.25,0.25,0.225,0.25,0.275,0.125,0.3,0.225,0.225,0.2,0.225,0.25,0.275,0.25,0.325,0.225,0.3,0.275,0.35,0.225,0.25,0.225,0.375
gpfit_DotProduct,0.125,0.125,0.2,0.225,0.2,0.2,0.175,0.25,0.3,0.2,0.25,0.3,0.125,0.275,0.2,0.25,0.3,0.2,0.25,0.25,0.25,0.325,0.25,0.325,0.25,0.3,0.25,0.25,0.25,0.375
gpfit_RBF,0.275,0.25,0.175,0.35,0.225,0.25,0.15,0.275,0.125,0.15,0.275,0.35,0.1,0.2,0.3,0.25,0.25,0.225,0.325,0.25,0.25,0.3,0.3,0.2,0.2,0.275,0.175,0.275,0.275,0.325
dcorr,0.175,0.2,0.2,0.15,0.225,0.225,0.125,0.25,0.325,0.15,0.275,0.15,0.2,0.275,0.225,0.2,0.2,0.325,0.275,0.25,0.35,0.325,0.325,0.3,0.15,0.225,0.225,0.2,0.225,0.25
dcorr_biased,0.15,0.175,0.225,0.2,0.125,0.225,0.1,0.25,0.2,0.175,0.325,0.25,0.15,0.275,0.2,0.2,0.125,0.225,0.225,0.275,0.3,0.2,0.35,0.35,0.25,0.25,0.2,0.175,0.2,0.25
mgc,0.275,0.25,0.275,0.175,0.25,0.325,0.175,0.375,0.3,0.2,0.325,0.375,0.2,0.3,0.275,0.275,0.275,0.25,0.4,0.225,0.3,0.2,0.225,0.3,0.25,0.2,0.325,0.15,0.175,0.35
hsic,0.3,0.2,0.25,0.2,0.125,0.25,0.225,0.225,0.3,0.25,0.325,0.275,0.3,0.275,0.2,0.15,0.175,0.325,0.2,0.175,0.275,0.25,0.15,0.275,0.2,0.25,0.15,0.225,0.225,0.325
hsic_biased,0.2,0.3,0.3,0.225,0.15,0.225,0.2,0.175,0.4,0.25,0.3,0.225,0.275,0.275,0.225,0.175,0.125,0.3,0.175,0.15,0.25,0.275,0.15,0.3,0.175,0.3,0.2,0.225,0.225,0.275
hhg,0.225,0.225,0.325,0.25,0.25,0.4,0.25,0.25,0.2,0.175,0.325,0.25,0.25,0.2,0.425,0.325,0.325,0.325,0.125,0.2,0.25,0.325,0.15,0.325,0.2,0.2,0.275,0.3,0.25,0.275
anm,0.275,0.3,0.225,0.225,0.3,0.275,0.4,0.35,0.375,0.2,0.275,0.225,0.225,0.35,0.4,0.325,0.4,0.3,0.3,0.3,0.325,0.4,0.3,0.275,0.15,0.275,0.25,0.225,0.2,0.25
cds,0.15,0.25,0.425,0.225,0.35,0.325,0.375,0.325,0.375,0.35,0.25,0.3,0.25,0.375,0.3,0.225,0.2,0.325,0.275,0.325,0.275,0.225,0.25,0.175,0.325,0.3,0.175,0.35,0.225,0.275
reci,0.325,0.2,0.325,0.35,0.25,0.3,0.25,0.3,0.3,0.25,0.25,0.25,0.225,0.275,0.3,0.325,0.225,0.25,0.2,0.35,0.225,0.375,0.175,0.45,0.3,0.3,0.15,0.275,0.225,0.25
igci,0.3,0.275,0.325,0.325,0.25,0.25,0.125,0.3,0.3,0.1,0.3,0.175,0.25,0.275,0.325,0.225,0.275,0.175,0.25,0.225,0.3,0.275,0.225,0.35,0.25,0.25,0.25,0.2,0.225,0.25
je_gaussian,0.15,0.175,0.225,0.25,0.3,0.2,0.15,0.35,0.3,0.225,0.225,0.375,0.15,0.275,0.2,0.225,0.3,0.375,0.225,0.15,0.2,0.3,0.175,0.35,0.275,0.3,0.275,0.25,0.25,0.3
je_kozachenko,0.25,0.275,0.2,0.1,0.275,0.175,0.175,0.2,0.225,0.225,0.225,0.125,0.275,0.3,0.175,0.3,0.2,0.2,0.175,0.2,0.225,0.275,0.275,0.275,0.1,0.075,0.125,0.25,0.15,0.3
je_kernel_W-0.5,0.375,0.25,0.125,0.2,0.225,0.2,0.2,0.25,0.225,0.2,0.375,0.275,0.15,0.25,0.25,0.35,0.4,0.225,0.225,0.275,0.325,0.25,0.3,0.35,0.15,0.275,0.175,0.25,0.15,0.35
ce_gaussian,0.15,0.175,0.225,0.25,0.3,0.2,0.15,0.35,0.3,0.225,0.225,0.375,0.15,0.275,0.2,0.225,0.3,0.375,0.225,0.15,0.2,0.3,0.175,0.35,0.275,0.3,0.275,0.25,0.25,0.3
ce_kozachenko,0.275,0.225,0.275,0.175,0.2,0.1,0.2,0.15,0.175,0.2,0.2,0.175,0.175,0.2,0.175,0.2,0.2,0.075,0.2,0.275,0.25,0.25,0.25,0.175,0.125,0.15,0.175,0.325,0.3,0.3
